Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524942979.52,-0.063446,-0.042176,-0.13005999999999998,0.112656,-1.026108,-0.040756,203.297913,-116.066193,-79.13298
1524942979.54,-0.059627,-0.14736300000000002,-0.085565,0.100449,-1.021576,-0.042816,203.447571,-116.29097,-79.584473
1524942979.56,-0.030925,-0.149202,-0.06718400000000001,0.100128,-1.02597,-0.076447,203.223129,-116.214844,-79.882233
1524942979.58,0.014972,-0.160447,-0.04765,0.116302,-1.017258,-0.090897,203.223129,-116.065628,-79.357224
1524942979.6,0.072724,-0.202395,-0.006772,0.123566,-1.007889,-0.093246,203.523804,-115.91629,-79.510239
1524942979.63,0.123996,-0.231652,0.027697000000000003,0.08114600000000001,-1.003906,-0.055664,203.29866,-115.915848,-79.357986
1524942979.65,0.13184400000000002,-0.253916,0.014821,0.088989,-1.001144,-0.060928,203.447754,-116.21608,-79.509476
1524942979.67,0.161575,-0.237683,0.019384,0.072113,-0.984177,-0.070099,202.8479,-116.214066,-79.65347299999998
1524942979.69,0.163511,-0.304663,0.001994,0.067001,-0.981552,-0.052353,202.847229,-116.364288,-79.503479
1524942979.71,0.168097,-0.323767,-0.008752,0.085342,-1.015869,-0.027618,201.87233,-116.510468,-80.093719
1524942979.73,0.18039,-0.282175,0.002212,0.095963,-1.0081790000000002,-0.045532,201.646408,-116.80957,-80.24146999999998
1524942979.75,0.210758,-0.248903,0.031454,0.118347,-1.001358,-0.068436,201.647095,-116.510132,-79.86646999999998
1524942979.77,0.22044,-0.280687,0.057056,0.116791,-1.00209,-0.08161900000000001,201.571075,-116.735245,-79.640701
1524942979.79,0.239694,-0.342122,0.116826,0.109802,-1.015381,-0.034927,202.395386,-116.738724,-78.97395300000002
1524942979.81,0.235843,-0.319797,0.15647,0.08107,-1.0132290000000002,0.003021,201.944016,-117.11248799999998,-78.89444
1524942979.83,0.222671,-0.29652199999999995,0.166103,0.059784,-1.009521,0.005981,201.868607,-117.187485,-78.74368299999998
1524942979.85,0.211924,-0.29237,0.167113,0.056198000000000005,-1.007584,-0.002075,201.493561,-117.261017,-78.964935
1524942979.87,0.22439,-0.2731,0.18333,0.093323,-1.02533,-0.013184,201.116974,-117.7099,-78.961166
1524942979.89,0.238702,-0.267599,0.241216,0.096069,-1.020416,-0.022888,201.117142,-117.560471,-78.586166
1524942979.91,0.260073,-0.320514,0.29462,0.083527,-1.02005,-0.014481,200.5159,-117.933563,-78.655151
1524942979.93,0.283337,-0.330896,0.330039,0.056168,-1.015411,-0.014511,200.516083,-117.858688,-78.58017
1524942979.95,0.314271,-0.314662,0.321775,0.041916,-1.022644,0.000183,199.989731,-118.157547,-78.27488699999998
1524942979.97,0.345118,-0.290985,0.31461100000000003,0.047729,-1.033844,0.013138,199.614059,-118.306656,-78.12114
1524942979.99,0.359454,-0.338691,0.319856,0.020462,-1.016983,0.017776,199.388214,-118.456436,-77.818878
1524942980.01,0.354759,-0.372783,0.290795,0.020874,-1.025543,0.031403,199.012146,-118.680756,-77.515121
1524942980.03,0.327746,-0.335834,0.281135,0.01738,-1.024353,0.037216,198.786591,-118.75553899999998,-77.21285999999998
1524942980.05,0.294479,-0.279834,0.237285,0.026947,-1.003235,0.015166999999999996,198.185455,-119.053848,-77.131851
1524942980.06,0.281709,-0.25658800000000004,0.208414,0.06233200000000001,-1.005814,-0.006881999999999999,198.259964,-119.12941,-76.907593
1524942980.08,0.260115,-0.30785500000000005,0.175949,0.073181,-1.00325,-0.063766,198.335709,-118.979309,-77.133362
1524942980.1,0.21191,-0.599735,0.059891,0.091553,-1.000839,-0.137405,197.733917,-119.427841,-76.902328
1524942980.12,0.101979,-1.337782,-0.160156,0.176483,-1.019806,-0.235748,197.434052,-119.27751200000002,-76.524338
1524942980.14,-0.023595,-2.435171,-0.16902,0.108643,-1.024368,-0.185257,197.584686,-119.202408,-76.900848
1524942980.16,-0.06957200000000001,-3.209518,-0.02617,-0.055969000000000005,-1.01181,-0.021942,196.760773,-118.825272,-76.667603
1524942980.18,-0.079651,-3.329623,0.134747,-0.206345,-1.064362,0.055908000000000006,195.185822,-118.895126,-76.95184300000003
1524942980.2,-0.08515,-3.038318,0.171267,-0.208664,-1.060974,0.08609,193.986511,-118.741318,-77.08985899999998
1524942980.22,-0.1019,-2.757785,0.169153,-0.15686,-1.028671,0.0065,192.71225,-118.587189,-77.30212399999998
1524942980.24,-0.138707,-2.903812,0.150073,-0.013519,-1.0065,-0.092651,191.437897,-118.358597,-77.139374
1524942980.26,-0.163609,-3.363306,0.219567,0.101074,-0.988052,-0.10611,190.388153,-118.280472,-77.128876
