,Unnamed: 0,Time,TimeRedundant,X,Y,Z
218,218,1525628536.990571,1525628536.990571,-0.529764,-0.398784,0.6482760000000001
219,219,1525628537.000393,1525628537.000393,-0.561905,-0.374126,0.632704
220,220,1525628537.010268,1525628537.010268,-0.618043,-0.305685,0.652552
221,221,1525628537.0203722,1525628537.0203722,-0.68882,-0.196688,0.688545
222,222,1525628537.030484,1525628537.030484,-0.744542,-0.029134,0.722226
223,223,1525628537.041135,1525628537.041135,-0.780224,0.103168,0.743954
224,224,1525628537.0503118,1525628537.0503118,-0.814459,0.075603,0.742243
225,225,1525628537.060683,1525628537.060683,-0.82147,-0.017079,0.71146
226,226,1525628537.070276,1525628537.070276,-0.794084,-0.074741,0.6940930000000001
227,227,1525628537.080856,1525628537.080856,-0.783914,-0.08226599999999999,0.741865
228,228,1525628537.090364,1525628537.090364,-0.807679,-0.040662,0.883716
229,229,1525628537.100502,1525628537.100502,-0.8434149999999999,0.036137,1.086384
230,230,1525628537.110184,1525628537.110184,-0.8599180000000001,0.113919,1.290945
231,231,1525628537.1204052,1525628537.1204052,-0.8758969999999999,0.15761,1.458246
232,232,1525628537.130274,1525628537.130274,-0.890236,0.18639,1.588274
233,233,1525628537.140199,1525628537.140199,-0.8878370000000001,0.270537,1.6797830000000002
234,234,1525628537.150102,1525628537.150102,-0.903815,0.378222,1.747036
235,235,1525628537.1602619,1525628537.1602619,-0.981464,0.522401,1.824624
236,236,1525628537.169935,1525628537.169935,-1.129942,0.7393390000000001,1.941397
237,237,1525628537.180033,1525628537.180033,-1.311824,1.041664,2.101156
238,238,1525628537.190151,1525628537.190151,-1.449517,1.3768280000000002,2.290178
239,239,1525628537.200078,1525628537.200078,-1.484916,1.6614650000000002,2.477947
240,240,1525628537.2101119,1525628537.2101119,-1.402669,1.793245,2.545064
241,241,1525628537.220272,1525628537.220272,-1.398654,1.57591,2.307656
242,242,1525628537.230095,1525628537.230095,-1.297835,1.485134,1.75934
243,243,1525628537.240081,1525628537.240081,-1.015957,1.611084,1.052354
244,244,1525628537.249923,1525628537.249923,-0.692116,1.515174,0.332077
245,245,1525628537.2597961,1525628537.2597961,-0.525203,1.0298120000000002,-0.314981
246,246,1525628537.269889,1525628537.269889,-0.538799,0.480126,-0.789535
247,247,1525628537.2799964,1525628537.2799964,-0.6064970000000001,0.075504,-1.006913
248,248,1525628537.289978,1525628537.289978,-0.5808180000000001,-0.20281,-0.944439
249,249,1525628537.299959,1525628537.299959,-0.416235,-0.5095109999999999,-0.686758
250,250,1525628537.309822,1525628537.309822,-0.151384,-0.833693,-0.428175
251,251,1525628537.319739,1525628537.319739,0.133729,-1.054489,-0.365679
252,252,1525628537.329773,1525628537.329773,0.374254,-1.16733,-0.567659
253,253,1525628537.339876,1525628537.339876,0.5553359999999999,-1.202002,-1.0211629999999998
254,254,1525628537.349716,1525628537.349716,0.682358,-1.172425,-1.632594
255,255,1525628537.359916,1525628537.359916,0.781674,-1.067052,-2.256455
256,256,1525628537.369596,1525628537.369596,0.854693,-0.90193,-2.774621
257,257,1525628537.37979,1525628537.37979,0.917229,-0.685684,-3.113846
258,258,1525628537.390534,1525628537.390534,0.990381,-0.45144,-3.28716
259,259,1525628537.3996286,1525628537.3996286,1.093618,-0.26426900000000003,-3.346956
260,260,1525628537.409563,1525628537.409563,1.221514,-0.200853,-3.371935
261,261,1525628537.4196632,1525628537.4196632,1.369319,-0.282471,-3.397161
262,262,1525628537.429681,1525628537.429681,1.548814,-0.448419,-3.431292
263,263,1525628537.439667,1525628537.439667,1.7463959999999998,-0.624035,-3.467774
264,264,1525628537.450357,1525628537.450357,1.925943,-0.753744,-3.5050980000000003
265,265,1525628537.459625,1525628537.459625,2.048064,-0.79368,-3.54491
266,266,1525628537.469505,1525628537.469505,2.097798,-0.7587010000000001,-3.585963
267,267,1525628537.479572,1525628537.479572,2.10395,-0.691566,-3.620095
268,268,1525628537.489442,1525628537.489442,2.109169,-0.632959,-3.641444
269,269,1525628537.499403,1525628537.499403,2.122112,-0.5978439999999999,-3.637344
270,270,1525628537.509489,1525628537.509489,2.137422,-0.589395,-3.608794
271,271,1525628537.519438,1525628537.519438,2.123939,-0.591484,-3.5766980000000004
272,272,1525628537.529494,1525628537.529494,2.061312,-0.589098,-3.550387
273,273,1525628537.5393946,1525628537.5393946,1.968975,-0.553549,-3.517326
274,274,1525628537.5493,1525628537.5493,1.882388,-0.492458,-3.455597
275,275,1525628537.559753,1525628537.559753,1.806817,-0.422899,-3.367393
276,276,1525628537.56988,1525628537.56988,1.7357209999999998,-0.327784,-3.267535
277,277,1525628537.579422,1525628537.579422,1.6796490000000002,-0.192233,-3.168924
278,278,1525628537.589351,1525628537.589351,1.618246,-0.091833,-3.062798
279,279,1525628537.5991971,1525628537.5991971,1.535664,-0.069161,-2.927678
280,280,1525628537.609388,1525628537.609388,1.433531,-0.06668400000000001,-2.729522
281,281,1525628537.619343,1525628537.619343,1.305631,-0.036418,-2.462932
282,282,1525628537.629318,1525628537.629318,1.161242,0.028007,-2.155693
283,283,1525628537.639299,1525628537.639299,1.026542,0.106243,-1.844314
284,284,1525628537.649294,1525628537.649294,0.8980809999999999,0.124769,-1.534078
285,285,1525628537.659255,1525628537.659255,0.773652,0.096386,-1.233473
286,286,1525628537.669451,1525628537.669451,0.6630050000000001,0.090332,-0.944743
287,287,1525628537.679332,1525628537.679332,0.5438270000000001,0.106698,-0.660165
288,288,1525628537.689195,1525628537.689195,0.403477,0.14766300000000002,-0.366813
289,289,1525628537.6991699,1525628537.6991699,0.255814,0.239818,-0.071241
290,290,1525628537.709283,1525628537.709283,0.094231,0.385328,0.209602
291,291,1525628537.719351,1525628537.719351,-0.069836,0.562839,0.455353
292,292,1525628537.729719,1525628537.729719,-0.241077,0.734014,0.639458
293,293,1525628537.739095,1525628537.739095,-0.421641,0.8508950000000001,0.770457
294,294,1525628537.749583,1525628537.749583,-0.571327,0.959121,0.8978860000000001
295,295,1525628537.75903,1525628537.75903,-0.6129979999999999,1.166008,1.025061
296,296,1525628537.769603,1525628537.769603,-0.411977,1.668207,1.0439040000000002
297,297,1525628537.7789009,1525628537.7789009,0.290125,2.811111,0.723494
298,298,1525628537.789441,1525628537.789441,0.7746970000000001,3.294385,-0.146677
299,299,1525628537.799251,1525628537.799251,0.608482,2.7168810000000003,-1.314392
300,300,1525628537.809351,1525628537.809351,-0.07703,1.646679,-1.6572790000000002
301,301,1525628537.819216,1525628537.819216,-0.520401,0.64849,-0.889805
302,302,1525628537.829016,1525628537.829016,-0.624394,-0.337637,0.663272
303,303,1525628537.838886,1525628537.838886,-0.431533,-0.898633,2.060528
304,304,1525628537.848818,1525628537.848818,-0.243346,-0.896483,2.613821
305,305,1525628537.858855,1525628537.858855,-0.12853499999999998,-0.370359,2.38466
306,306,1525628537.869093,1525628537.869093,0.049922,0.121634,1.609768
307,307,1525628537.878808,1525628537.878808,0.256622,0.035884,0.732334
308,308,1525628537.888781,1525628537.888781,0.379241,-0.50584,0.226312
309,309,1525628537.898772,1525628537.898772,0.316127,-0.958537,0.21855500000000005
310,310,1525628537.908727,1525628537.908727,0.073864,-0.788183,0.5280590000000001
311,311,1525628537.918988,1525628537.918988,-0.20947,-0.111408,0.8657540000000001
312,312,1525628537.9287019,1525628537.9287019,-0.362495,0.602193,1.0326229999999998
313,313,1525628537.9385538,1525628537.9385538,-0.338456,0.985797,1.00041
314,314,1525628537.948672,1525628537.948672,-0.180216,0.906313,0.8686200000000001
315,315,1525628537.958632,1525628537.958632,-0.036583,0.432534,0.75722
316,316,1525628537.9689279,1525628537.9689279,-0.017027,-0.082316,0.7165189999999999
